m       s*     sc     sb    
65849   3.537  3.537  2.731  
65850   3.92   3.92   2.731  
65851   3.98   3.98   2.731  
65852   3.962  3.962  2.731  
65853   3.727  3.727  2.731  
65854   3.75   3.75   2.731  
65855   4.013  4.013  2.731  
65856   3.78   3.78   2.731  
65857   3.613  3.613  2.731  
65858   3.73   3.73   2.731  
65859   3.971  3.971  2.731  
65860   3.907  3.907  2.731  
65861   3.816  3.816  2.731  
65862   3.484  3.484  2.731  
65863   3.367  3.367  2.731  
65864   3.192  3.192  2.731  
65865   3.5    3.5    2.731  
65866   3.463  3.463  2.731  
65867   3.668  3.668  2.731  
